Customer ID,Age,Gender,Loyalty Member,Recency,Frequency,Monetary,Churn,Favorite Product Type,Product Diversity,Total Orders,Cancellation Rate,Average Rating,Add-on Frequency,Preferred Payment Method,Preferred Shipping Type
1056,24,Female,No,222,1,1855.84,1,Laptop,1,1,0.0,3.0,1.0,Credit Card,Overnight
1057,71,Female,No,252,2,9085.65,1,Smartwatch,2,2,100.0,3.0,0.5,Debit Card,Express
1058,21,Female,No,150,2,4121.95,0,Smartphone,1,2,50.0,3.5,0.5,Credit Card,Express
1059,37,Male,No,161,2,3711.68,0,Laptop,1,2,0.0,3.0,1.0,Debit Card,Express
1060,72,Male,No,311,3,4920.4,1,Laptop,3,3,0.0,2.6666666666666665,1.0,Paypal,Overnight
1061,56,Male,No,198,2,2440.2,1,Laptop,2,2,0.0,3.0,1.0,Cash,Express
1062,62,Male,No,257,1,6329.52,1,Smartphone,1,1,0.0,2.0,1.0,Debit Card,Standard
1063,64,Male,No,150,2,4229.41,0,Laptop,2,2,50.0,2.5,0.5,Credit Card,Express
1066,44,Female,No,145,2,4747.14,0,Smartphone,1,2,50.0,2.0,1.0,Credit Card,Overnight
1067,49,Male,No,341,2,3418.87,1,Smartwatch,2,2,50.0,3.0,0.5,Debit Card,Standard
1069,27,Male,No,198,1,145.25,1,Smartphone,1,1,0.0,5.0,1.0,Cash,Standard
1070,30,Male,No,372,1,62.25,1,Smartphone,1,1,100.0,5.0,1.0,Paypal,Standard
1071,54,Female,No,171,1,7603.47,0,Smartwatch,1,1,0.0,3.0,0.0,Debit Card,Overnight
1073,46,Female,Yes,84,2,4199.51,0,Tablet,1,2,0.0,3.0,1.0,Cash,Express
1074,58,Male,No,395,1,7603.47,1,Smartwatch,1,1,0.0,3.0,1.0,Cash,Standard
1077,26,Male,No,205,2,3855.75,1,Smartphone,2,2,0.0,2.5,1.0,Cash,Express
1079,64,Male,No,81,3,5579.83,0,Smartphone,1,3,0.0,3.0,1.0,Paypal,Overnight
1080,55,Female,No,109,2,3411.7900000000004,0,Smartphone,2,2,50.0,2.5,0.5,Credit Card,Express
1083,24,Male,No,129,1,3379.32,0,Smartwatch,1,1,0.0,3.0,0.0,Credit Card,Overnight
1085,74,Male,No,217,2,761.84,1,Smartphone,2,2,0.0,4.0,1.0,Cash,Express
1086,76,Male,No,157,1,166.0,0,Smartphone,1,1,0.0,5.0,1.0,Paypal,Overnight
1089,45,Male,No,118,1,3955.95,0,Smartphone,1,1,0.0,2.0,0.0,Debit Card,Express
1090,31,Male,No,215,1,741.09,1,Tablet,1,1,100.0,3.0,1.0,Debit Card,Express
1091,22,Male,Yes,258,1,1689.66,1,Smartwatch,1,1,100.0,3.0,1.0,Credit Card,Express
1093,56,Female,No,222,1,7120.71,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Express
1094,65,Male,No,212,1,20.75,1,Smartphone,1,1,0.0,5.0,0.0,Debit Card,Overnight
1096,20,Female,No,204,2,4681.1,1,Laptop,2,2,0.0,4.0,1.0,Cash,Overnight
1097,19,Male,No,255,1,988.12,1,Tablet,1,1,0.0,3.0,1.0,Paypal,Express
1099,68,Female,No,188,2,2974.26,1,Laptop,2,2,100.0,2.5,0.5,Credit Card,Overnight
1100,63,Female,Yes,200,2,4120.41,1,Smartwatch,2,2,0.0,3.0,1.0,Credit Card,Express
1101,33,Female,No,135,4,1102.44,0,Smartphone,1,4,25.0,4.25,1.0,Cash,Overnight
1102,55,Male,No,121,1,166.0,0,Smartphone,1,1,100.0,5.0,0.0,Paypal,Express
1105,42,Female,No,76,1,1482.18,0,Tablet,1,1,0.0,3.0,1.0,Debit Card,Overnight
1109,37,Female,Yes,145,2,2042.59,0,Laptop,2,2,50.0,4.0,1.0,Debit Card,Overnight
1110,76,Male,No,147,1,207.5,0,Smartphone,1,1,0.0,5.0,0.0,Credit Card,Express
1112,58,Female,No,169,2,4446.54,0,Tablet,1,2,0.0,3.0,1.0,Paypal,Express
1114,25,Female,No,309,1,4747.14,1,Smartphone,1,1,0.0,2.0,1.0,Paypal,Overnight
1115,31,Female,No,86,3,1883.0500000000002,0,Smartphone,3,3,33.33333333333333,2.6666666666666665,0.3333333333333333,Cash,Overnight
1116,55,Female,No,199,2,8351.28,1,Laptop,1,2,50.0,3.0,0.5,Cash,Express
1117,34,Female,No,274,1,1689.66,1,Smartwatch,1,1,0.0,3.0,1.0,Debit Card,Overnight
1119,24,Male,No,328,1,1482.18,1,Tablet,1,1,0.0,3.0,1.0,Credit Card,Standard
1120,40,Female,No,284,2,290.5,1,Smartphone,1,2,50.0,5.0,0.5,Credit Card,Express
1122,69,Male,Yes,81,1,5538.33,0,Smartphone,1,1,100.0,2.0,0.0,Paypal,Express
1123,79,Male,Yes,115,2,7549.83,0,Smartphone,2,2,50.0,2.5,1.0,Credit Card,Overnight
1124,24,Female,No,91,3,8732.28,0,Laptop,2,3,0.0,2.6666666666666665,0.6666666666666666,Credit Card,Overnight
1125,46,Male,No,103,2,9625.49,0,Laptop,2,2,0.0,3.0,0.5,Cash,Express
1127,80,Male,No,258,2,6924.64,1,Smartphone,2,2,50.0,4.0,1.0,Paypal,Express
1129,36,Female,Yes,362,1,20.75,1,Smartphone,1,1,100.0,5.0,0.0,Cash,Overnight
1130,75,Female,Yes,397,1,4747.14,1,Smartphone,1,1,0.0,2.0,1.0,Debit Card,Express
1132,18,Female,Yes,217,1,124.5,1,Smartphone,1,1,0.0,5.0,1.0,Cash,Standard
1133,25,Male,Yes,152,2,8150.52,0,Laptop,2,2,0.0,3.0,1.0,Cash,Express
1134,23,Male,No,136,4,18089.83,0,Laptop,2,4,25.0,2.5,0.75,Debit Card,Express
1136,20,Female,No,357,1,844.83,1,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Overnight
1139,56,Female,No,75,1,6329.52,0,Smartphone,1,1,100.0,2.0,1.0,Debit Card,Overnight
1141,61,Male,No,235,3,5124.3099999999995,1,Laptop,2,3,0.0,3.6666666666666665,1.0,Credit Card,Standard
1142,63,Female,No,406,1,4175.64,1,Laptop,1,1,0.0,3.0,1.0,Cash,Standard
1143,27,Female,No,365,1,3379.32,1,Smartwatch,1,1,0.0,3.0,0.0,Cash,Express
1144,42,Male,No,283,1,844.83,1,Smartwatch,1,1,0.0,3.0,1.0,Debit Card,Overnight
1145,75,Female,No,83,3,5214.23,0,Smartphone,2,3,33.33333333333333,4.333333333333333,1.0,Cash,Express
1147,24,Male,Yes,139,1,8448.3,0,Smartwatch,1,1,0.0,3.0,1.0,Cash,Overnight
1148,77,Female,No,110,3,7354.17,0,Laptop,3,3,33.33333333333333,2.6666666666666665,0.3333333333333333,Cash,Standard
1149,60,Male,Yes,116,3,3566.07,0,Smartphone,2,3,33.33333333333333,4.333333333333333,1.0,Credit Card,Express
1150,21,Male,No,264,1,5538.33,1,Smartphone,1,1,0.0,2.0,1.0,Debit Card,Express
1151,19,Female,No,140,2,1401.15,0,Smartphone,2,2,50.0,4.0,0.5,Cash,Express
1152,45,Female,No,299,1,124.5,1,Smartphone,1,1,0.0,5.0,1.0,Cash,Express
1154,70,Female,No,87,1,463.96,0,Laptop,1,1,0.0,3.0,0.0,Credit Card,Overnight
1155,29,Male,No,197,2,9869.76,1,Smartphone,2,2,0.0,2.5,1.0,Cash,Express
1160,22,Female,Yes,92,1,83.0,0,Smartphone,1,1,100.0,5.0,1.0,Debit Card,Express
1162,20,Male,No,125,1,3379.32,0,Smartwatch,1,1,100.0,3.0,1.0,Paypal,Overnight
1167,66,Female,Yes,366,1,124.5,1,Smartphone,1,1,0.0,5.0,1.0,Paypal,Express
1168,54,Female,No,405,1,1391.88,1,Laptop,1,1,100.0,3.0,0.0,Paypal,Overnight
1169,57,Female,Yes,196,2,8322.09,1,Laptop,2,2,100.0,2.5,0.5,Credit Card,Overnight
1170,54,Male,No,248,1,5538.33,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Overnight
1171,50,Male,No,89,4,9152.57,0,Laptop,2,4,0.0,3.0,0.75,Cash,Overnight
1174,29,Male,No,114,2,1050.37,0,Smartphone,2,2,100.0,4.0,1.0,Cash,Overnight
1175,62,Male,No,79,2,4092.5499999999997,0,Laptop,2,2,50.0,3.0,0.5,Credit Card,Express
1177,49,Female,No,189,1,2783.76,1,Laptop,1,1,0.0,3.0,1.0,Paypal,Overnight
1178,19,Female,No,226,1,247.03,1,Tablet,1,1,100.0,3.0,1.0,Credit Card,Overnight
1180,41,Female,No,265,1,7603.47,1,Smartwatch,1,1,0.0,3.0,0.0,Paypal,Express
1181,50,Male,No,123,1,3955.95,0,Smartphone,1,1,0.0,2.0,1.0,Paypal,Standard
1182,78,Male,No,384,2,11867.849999999999,1,Smartphone,1,2,0.0,2.0,1.0,Debit Card,Overnight
1183,80,Male,Yes,78,2,710.99,0,Laptop,2,2,100.0,3.0,0.5,Credit Card,Standard
1184,71,Female,Yes,118,1,1391.88,0,Laptop,1,1,0.0,3.0,1.0,Debit Card,Express
1185,49,Male,No,303,1,2534.49,1,Smartwatch,1,1,100.0,3.0,0.0,Cash,Express
1186,18,Male,No,370,1,247.03,1,Tablet,1,1,100.0,3.0,1.0,Credit Card,Express
1187,55,Female,No,307,1,2534.49,1,Smartwatch,1,1,0.0,3.0,0.0,Debit Card,Express
1188,52,Male,Yes,106,2,4349.81,0,Smartphone,2,2,50.0,2.5,1.0,Credit Card,Standard
1189,31,Male,No,384,1,494.06,1,Tablet,1,1,0.0,3.0,0.0,Credit Card,Express
1190,63,Female,No,117,3,8981.91,0,Tablet,2,3,0.0,3.0,0.6666666666666666,Cash,Express
1192,60,Male,No,82,3,6162.81,0,Smartphone,2,3,66.66666666666666,4.333333333333333,1.0,Paypal,Overnight
1193,19,Female,No,109,2,2470.3,0,Tablet,1,2,0.0,3.0,1.0,Credit Card,Express
1194,61,Male,No,389,1,494.06,1,Tablet,1,1,0.0,3.0,0.0,Cash,Express
1195,32,Female,No,419,1,3247.72,1,Laptop,1,1,0.0,3.0,0.0,Credit Card,Overnight
1196,77,Male,No,209,3,4966.83,1,Laptop,2,3,33.33333333333333,2.6666666666666665,0.3333333333333333,Cash,Express
1197,77,Female,No,75,3,8462.04,0,Laptop,3,3,33.33333333333333,3.6666666666666665,0.6666666666666666,Cash,Express
1199,60,Female,Yes,147,1,1482.18,0,Tablet,1,1,0.0,3.0,1.0,Debit Card,Express
1203,43,Male,No,219,2,7066.9400000000005,1,Laptop,2,2,50.0,2.5,1.0,Credit Card,Standard
1205,74,Male,No,125,1,1729.21,0,Tablet,1,1,0.0,3.0,0.0,Debit Card,Standard
1208,62,Male,No,133,1,844.83,0,Smartwatch,1,1,0.0,3.0,0.0,Debit Card,Standard
1210,24,Female,No,220,2,9189.39,1,Smartwatch,2,2,50.0,3.0,0.5,Debit Card,Overnight
1211,24,Male,No,151,3,3130.35,0,Smartphone,3,3,0.0,3.6666666666666665,0.6666666666666666,Cash,Standard
1212,79,Female,Yes,239,1,6758.64,1,Smartwatch,1,1,100.0,3.0,1.0,Paypal,Overnight
1215,47,Male,No,81,2,14724.18,0,Smartphone,2,2,100.0,2.5,1.0,Paypal,Overnight
1216,35,Female,Yes,76,1,2373.57,0,Smartphone,1,1,0.0,2.0,1.0,Cash,Express
1217,43,Female,Yes,256,4,7256.64,1,Smartphone,2,4,0.0,4.5,0.75,Cash,Express
1218,48,Female,No,342,1,2534.49,1,Smartwatch,1,1,100.0,3.0,1.0,Debit Card,Overnight
1220,72,Male,Yes,119,2,8635.05,0,Smartphone,2,2,50.0,4.0,1.0,Cash,Overnight
1222,32,Male,No,114,1,8448.3,0,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Standard
1223,53,Male,No,272,1,166.0,1,Smartphone,1,1,0.0,5.0,0.0,Cash,Standard
1224,63,Female,No,160,2,9494.279999999999,0,Smartphone,1,2,50.0,2.0,1.0,Cash,Standard
1226,40,Female,No,109,2,4639.599999999999,0,Laptop,1,2,100.0,3.0,0.5,Credit Card,Express
1227,23,Female,No,299,1,1582.38,1,Smartphone,1,1,0.0,2.0,1.0,Debit Card,Overnight
1228,35,Female,No,414,1,5538.33,1,Smartphone,1,1,100.0,2.0,1.0,Paypal,Express
1229,67,Male,No,329,1,494.06,1,Tablet,1,1,100.0,3.0,0.0,Credit Card,Overnight
1232,22,Male,Yes,286,1,4747.14,1,Smartphone,1,1,0.0,2.0,1.0,Cash,Standard
1234,58,Male,No,73,2,12672.449999999999,0,Smartwatch,1,2,0.0,3.0,1.0,Credit Card,Overnight
1235,38,Female,No,105,1,103.75,0,Smartphone,1,1,0.0,5.0,1.0,Credit Card,Express
1236,55,Male,No,95,2,6516.27,0,Smartphone,1,2,100.0,3.5,1.0,Debit Card,Overnight
1237,72,Male,Yes,243,2,1976.24,1,Tablet,1,2,0.0,3.0,1.0,Paypal,Express
1244,70,Male,No,135,5,11804.1,0,Smartphone,2,5,80.0,3.0,0.8,Cash,Overnight
1245,39,Female,Yes,134,1,5913.81,0,Smartwatch,1,1,100.0,3.0,0.0,Debit Card,Overnight
1246,61,Male,No,335,1,494.06,1,Tablet,1,1,0.0,3.0,0.0,Paypal,Standard
1247,47,Male,No,194,2,4893.97,1,Smartphone,2,2,50.0,2.5,0.5,Credit Card,Overnight
1248,66,Male,No,242,3,4515.0199999999995,1,Laptop,3,3,66.66666666666666,3.6666666666666665,0.6666666666666666,Credit Card,Express
1250,32,Female,No,101,2,5438.13,0,Smartphone,2,2,100.0,2.5,1.0,Credit Card,Overnight
1251,52,Female,Yes,175,1,4175.64,0,Laptop,1,1,0.0,3.0,1.0,Cash,Express
1252,29,Female,No,234,1,7911.9,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Express
1253,58,Female,No,294,2,12980.88,1,Smartphone,2,2,0.0,2.5,0.5,Debit Card,Express
1254,47,Female,No,264,1,2223.27,1,Tablet,1,1,0.0,3.0,1.0,Credit Card,Overnight
1255,49,Male,No,117,2,311.25,0,Smartphone,1,2,0.0,5.0,1.0,Credit Card,Express
1256,31,Female,No,160,1,3164.76,0,Smartphone,1,1,100.0,2.0,1.0,Paypal,Standard
1257,55,Male,No,141,1,124.5,0,Smartphone,1,1,0.0,5.0,1.0,Credit Card,Express
1258,65,Male,No,209,1,988.12,1,Tablet,1,1,0.0,3.0,1.0,Cash,Express
1261,76,Male,No,309,1,791.19,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Standard
1262,44,Male,Yes,377,1,3955.95,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Overnight
1263,20,Male,No,410,2,11827.619999999999,1,Smartwatch,1,2,0.0,3.0,0.5,Cash,Express
1264,76,Female,No,232,1,186.75,1,Smartphone,1,1,0.0,5.0,0.0,Cash,Express
1265,29,Female,No,75,4,9453.630000000001,0,Smartphone,3,4,50.0,3.25,0.75,Debit Card,Express
1266,23,Male,No,184,1,791.19,1,Smartphone,1,1,100.0,2.0,0.0,Debit Card,Standard
1267,47,Male,Yes,328,1,1729.21,1,Tablet,1,1,0.0,3.0,0.0,Debit Card,Overnight
1268,54,Male,Yes,136,3,13195.44,0,Smartwatch,2,3,0.0,2.6666666666666665,0.3333333333333333,Cash,Standard
1269,72,Male,Yes,127,1,186.75,0,Smartphone,1,1,0.0,5.0,1.0,Paypal,Overnight
1271,36,Female,No,77,2,7005.67,0,Smartwatch,2,2,50.0,3.0,0.5,Cash,Express
1272,27,Female,No,269,1,2470.3,1,Tablet,1,1,0.0,3.0,1.0,Debit Card,Overnight
1276,30,Male,No,267,2,2964.36,1,Tablet,1,2,50.0,3.0,1.0,Debit Card,Standard
1277,20,Female,No,175,2,3626.3500000000004,0,Smartwatch,2,2,50.0,3.0,1.0,Cash,Express
1278,57,Male,No,122,4,6876.3099999999995,0,Laptop,2,4,0.0,3.0,1.0,Credit Card,Standard
1280,72,Male,No,106,2,6883.14,0,Smartphone,2,2,0.0,4.0,0.5,Debit Card,Overnight
1283,36,Male,No,214,1,186.75,1,Smartphone,1,1,0.0,5.0,1.0,Debit Card,Express
1286,73,Male,No,146,3,8875.44,0,Laptop,2,3,33.33333333333333,3.0,1.0,Cash,Express
1287,52,Female,No,115,4,8299.720000000001,0,Laptop,4,4,50.0,2.75,0.25,Cash,Standard
1288,32,Female,Yes,260,1,7911.9,1,Smartphone,1,1,0.0,2.0,1.0,Paypal,Express
1290,54,Male,No,332,1,3711.68,1,Laptop,1,1,100.0,3.0,1.0,Debit Card,Standard
1292,56,Male,No,159,3,7187.34,0,Laptop,3,3,0.0,2.6666666666666665,1.0,Paypal,Express
1293,49,Male,Yes,402,1,4747.14,1,Smartphone,1,1,0.0,2.0,1.0,Paypal,Express
1294,56,Male,No,274,1,3711.68,1,Laptop,1,1,0.0,3.0,1.0,Cash,Standard
1295,19,Male,No,120,1,4747.14,0,Smartphone,1,1,100.0,2.0,0.0,Debit Card,Overnight
1296,60,Female,No,348,2,6903.89,1,Smartphone,2,2,0.0,4.0,0.5,Cash,Express
1298,34,Male,No,398,1,1729.21,1,Tablet,1,1,0.0,3.0,1.0,Credit Card,Express
1299,59,Male,No,373,1,7911.9,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Overnight
1300,68,Male,No,230,1,166.0,1,Smartphone,1,1,0.0,5.0,1.0,Cash,Overnight
1301,71,Female,Yes,126,2,2373.57,0,Smartphone,1,2,50.0,2.0,1.0,Credit Card,Standard
1302,46,Male,No,96,1,145.25,0,Smartphone,1,1,0.0,5.0,1.0,Debit Card,Express
1303,34,Male,No,164,2,2560.32,0,Smartphone,1,2,0.0,3.5,1.0,Debit Card,Express
1304,23,Female,No,408,1,741.09,1,Tablet,1,1,0.0,3.0,0.0,Debit Card,Express
1305,24,Male,No,175,2,9078.57,0,Smartphone,2,2,50.0,2.5,1.0,Credit Card,Overnight
1306,33,Female,No,312,2,5976.06,1,Smartphone,2,2,50.0,4.0,1.0,Debit Card,Express
1307,50,Female,No,194,2,2410.1,1,Laptop,2,2,50.0,3.0,1.0,Cash,Express
1308,30,Female,Yes,333,1,1391.88,1,Laptop,1,1,0.0,3.0,1.0,Paypal,Standard
1309,40,Male,No,103,2,7852.74,0,Laptop,2,2,50.0,3.0,1.0,Credit Card,Overnight
1310,77,Male,No,104,2,11296.35,0,Laptop,2,2,100.0,2.5,0.5,Debit Card,Overnight
1311,23,Female,Yes,97,1,2534.49,0,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Express
1312,53,Female,Yes,175,1,83.0,0,Smartphone,1,1,0.0,5.0,1.0,Debit Card,Express
1313,51,Male,No,168,2,6476.35,0,Smartphone,2,2,0.0,2.5,1.0,Debit Card,Express
1314,30,Male,No,89,2,3372.22,0,Laptop,2,2,50.0,4.0,0.5,Cash,Express
1315,48,Male,No,163,4,9635.740000000002,0,Smartphone,2,4,100.0,3.75,0.25,Paypal,Express
1316,52,Male,Yes,91,3,9228.939999999999,0,Smartwatch,2,3,33.33333333333333,3.0,0.3333333333333333,Cash,Overnight
1317,23,Male,No,198,2,1814.16,1,Smartphone,2,2,50.0,4.0,1.0,Credit Card,Overnight
1318,20,Male,No,382,1,2470.3,1,Tablet,1,1,0.0,3.0,0.0,Paypal,Standard
1320,60,Male,No,380,1,5913.81,1,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Standard
1321,28,Male,No,257,2,7890.05,1,Smartwatch,2,2,50.0,3.0,1.0,Debit Card,Overnight
1324,34,Female,No,174,1,4639.6,0,Laptop,1,1,100.0,3.0,0.0,Cash,Overnight
1326,25,Male,Yes,421,1,6758.64,1,Smartwatch,1,1,0.0,3.0,0.0,Debit Card,Standard
1327,80,Male,No,76,3,2072.69,0,Laptop,3,3,66.66666666666666,3.6666666666666665,0.6666666666666666,Paypal,Standard
1328,29,Female,No,203,1,3711.68,1,Laptop,1,1,100.0,3.0,0.0,Paypal,Overnight
1329,65,Female,No,276,1,2373.57,1,Smartphone,1,1,0.0,2.0,1.0,Debit Card,Standard
1331,25,Male,No,167,1,4224.15,0,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Overnight
1333,61,Male,No,126,3,8384.11,0,Tablet,2,3,0.0,3.0,0.3333333333333333,Cash,Standard
1335,34,Male,No,148,3,10570.89,0,Smartphone,2,3,33.33333333333333,3.3333333333333335,0.6666666666666666,Cash,Standard
1337,41,Male,No,341,2,1627.43,1,Smartphone,2,2,50.0,4.0,1.0,Credit Card,Overnight
1340,49,Male,Yes,105,2,6181.98,0,Laptop,2,2,0.0,3.0,0.5,Cash,Express
1341,53,Male,No,380,1,145.25,1,Smartphone,1,1,100.0,5.0,1.0,Paypal,Overnight
1342,36,Female,No,122,4,18855.89,0,Smartphone,3,4,75.0,2.5,0.75,Debit Card,Overnight
1344,67,Male,No,397,1,2783.76,1,Laptop,1,1,100.0,3.0,1.0,Debit Card,Express
1347,72,Female,No,142,2,4681.1,0,Laptop,2,2,50.0,4.0,0.0,Cash,Express
1348,20,Male,No,312,3,7471.87,1,Laptop,2,3,0.0,3.0,1.0,Cash,Express
1349,53,Female,No,431,1,5538.33,1,Smartphone,1,1,0.0,2.0,1.0,Credit Card,Standard
1350,77,Male,No,85,1,5913.81,0,Smartwatch,1,1,0.0,3.0,0.0,Cash,Standard
1351,34,Male,Yes,279,1,463.96,1,Laptop,1,1,100.0,3.0,1.0,Credit Card,Standard
1352,19,Male,No,89,4,5584.96,0,Smartphone,2,4,25.0,2.5,0.75,Credit Card,Express
1353,60,Male,No,225,3,10339.11,1,Smartphone,2,3,66.66666666666666,2.3333333333333335,1.0,Cash,Overnight
1354,21,Male,No,284,1,2319.8,1,Laptop,1,1,0.0,3.0,1.0,Paypal,Overnight
1355,30,Male,No,81,2,5657.820000000001,0,Laptop,2,2,0.0,3.0,1.0,Credit Card,Express
1356,24,Male,No,156,1,8448.3,0,Smartwatch,1,1,0.0,3.0,1.0,Credit Card,Standard
1357,30,Female,Yes,91,1,145.25,0,Smartphone,1,1,100.0,5.0,0.0,Paypal,Overnight
1358,71,Female,No,216,1,741.09,1,Tablet,1,1,100.0,3.0,1.0,Paypal,Express
1359,42,Female,Yes,201,3,1659.58,1,Laptop,3,3,100.0,3.6666666666666665,1.0,Cash,Express
1362,61,Male,Yes,370,1,7603.47,1,Smartwatch,1,1,100.0,3.0,1.0,Paypal,Standard
1363,68,Female,No,237,1,20.75,1,Smartphone,1,1,0.0,5.0,1.0,Credit Card,Express
1364,29,Female,No,123,2,2638.24,0,Smartphone,2,2,50.0,4.0,0.0,Debit Card,Express
1365,54,Female,No,271,1,7911.9,1,Smartphone,1,1,0.0,2.0,0.0,Cash,Overnight
1368,71,Female,No,183,3,2929.0099999999998,1,Laptop,2,3,66.66666666666666,3.6666666666666665,1.0,Paypal,Standard
1369,21,Male,No,353,1,7120.71,1,Smartphone,1,1,0.0,2.0,0.0,Credit Card,Express
1372,36,Female,No,123,2,2415.07,0,Smartphone,1,2,50.0,3.5,1.0,Cash,Express
1374,44,Female,No,197,2,6495.52,1,Smartphone,1,2,0.0,3.5,0.5,Debit Card,Express
1375,45,Female,No,74,1,2783.76,0,Laptop,1,1,0.0,3.0,1.0,Cash,Express
1378,69,Male,No,137,2,7286.71,0,Smartphone,1,2,50.0,3.5,1.0,Paypal,Express
1379,69,Male,No,421,1,3711.68,1,Laptop,1,1,0.0,3.0,1.0,Debit Card,Standard
1381,34,Female,No,331,2,83.0,1,Smartphone,1,2,0.0,5.0,0.0,Credit Card,Standard
1382,62,Male,No,305,1,3247.72,1,Laptop,1,1,100.0,3.0,1.0,Credit Card,Standard
